funcs_1,funcs_2,funcs_3,funcs_4,funcs_5,funcs_6,funcs_7,funcs_8
5,6,7,8,10,12,8,16
5,7,5,9,10,8,8,15
5,8,7,9,10,7,8,9
5,7,7,10,10,12,10,9
5,7,7,8,10,12,15,11
5,7,7,9,10,7,8,8
1,8,7,9,10,7,13,15
6,7,7,7,10,12,8,9
5,7,7,9,10,12,13,9
5,7,7,9,10,12,8,8
5,8,7,9,10,12,13,9
5,7,7,9,10,7,13,15
5,7,7,9,6,12,8,15
5,7,8,9,10,7,13,15
5,6,7,8,10,12,8,9
6,8,7,9,11,12,9,9
5,7,7,9,10,8,15,9
5,6,9,9,7,13,15,16
5,7,7,8,10,12,13,9
5,7,7,8,10,7,7,10
5,7,8,11,12,12,14,15
5,7,7,9,10,13,13,8
5,9,7,9,10,12,7,8
5,6,7,8,10,11,13,9
6,7,7,8,10,12,10,9
5,7,7,9,10,12,9,15
5,7,7,9,10,12,14,9
5,7,7,9,10,12,8,10
5,7,7,9,10,7,9,9
5,3,7,9,10,7,8,9
5,7,7,9,11,12,15,10
5,9,7,9,11,12,7,9
5,8,7,9,10,12,9,9
5,7,7,10,10,7,8,9
5,7,7,8,11,9,9,9
5,7,7,9,11,12,8,15
5,8,7,9,10,11,8,9
6,7,7,10,13,7,7,9
5,7,7,9,10,12,13,9
5,9,7,9,10,12,8,11
5,8,7,9,10,12,8,8
5,8,7,10,11,13,9,15
5,7,7,8,10,12,13,8
5,7,9,8,7,7,8,8
5,7,7,9,11,12,8,16
5,7,7,9,8,12,8,9
5,7,7,9,9,12,13,9
5,6,8,9,10,13,15,16
5,7,7,9,10,12,13,15
