reception-to-frame,frame-time
3,14
3,16
4,15
13,14
17,16
2,18
3,17
11,16
6,14
10,18
11,18
1,17
10,16
5,15
5,20
1,17
11,16
6,17
0,16
0,14
10,17
12,15
14,16
7,16
0,17
14,17
14,20
15,18
9,16
14,15
11,17
4,16
15,15
11,20
5,17
8,16
10,16
12,16
12,15
17,15
8,15
2,18
12,20
14,17
3,16
8,15
11,16
13,15
2,18
8,18
7,16
3,17
1,17
16,18
15,16
3,16
16,17
15,16
15,17
14,16
6,12
2,14
12,16
13,17
9,16
10,16
6,16
10,18
13,18
9,17
10,19
5,17
4,17
6,18
8,19
6,17
14,17
3,17
12,17
13,18
1,17
14,17
9,18
2,17
9,17
2,18
14,17
16,17
4,17
7,16
9,19
9,13
15,14
0,16
6,17
8,17
8,16
9,18
4,16
3,16
10,19
1,18
11,16
6,17
16,16
15,16
14,16
15,17
0,15
6,18
7,16
14,16
9,16
16,16
12,21
10,18
8,17
3,18
15,16
3,16
11,16
8,17
15,9
11,18
5,16
2,16
2,17
14,18
4,16
5,16
13,17
6,16
3,16
1,17
10,16
11,19
9,17
16,20
15,17
15,16
4,18
8,17
13,16
11,17
5,17
5,15
3,16
12,18
8,16
13,17
9,16
12,17
9,16
10,17
13,21
9,13
9,16
9,18
6,17
3,16
4,18
5,17
2,19
8,18
10,17
2,16
8,15
12,16
12,16
3,16
3,18
7,16
14,18
12,18
13,16
14,18
11,18
12,15
1,18
16,15
15,17
17,17
17,15
16,16
7,18
8,17
17,13
17,17
7,17
6,15
9,16
17,16
4,18
10,17
2,18
9,16
14,18
6,16
8,16
14,16
14,16
14,15
2,20
9,16
12,17
11,15
15,17
13,14
15,16
17,15
1,20
7,18
8,18
10,18
14,18
5,16
10,15
14,16
13,14
1,17
5,19
6,17
15,18
14,17
14,17
8,17
12,15
12,14
12,18
7,16
11,20
2,14
6,17
9,15
12,15
1,16
16,13
15,16
0,18
12,18
7,17
15,17
4,16
6,16
5,16
9,17
18,16
4,9
14,16
2,16
7,17
2,16
14,19
5,15
10,15
10,14
0,17
16,15
8,16
10,15
11,16
14,18
12,17
12,15
13,16
14,16
5,17
5,18
3,17
7,17
15,17
8,18
7,17
2,17
2,16
2,17
4,18
1,19
1,17
15,18
4,16
10,18
10,15
9,17
15,19
15,18
4,16
8,20
8,18
0,15
13,17
6,17
9,15
15,13
8,19
11,17
13,18
14,17
13,17
4,16
10,18
15,17
13,16
16,17
5,17
8,18
12,18
10,19
10,16
7,20
3,16
2,15
1,18
11,17
2,18
7,18
15,17
16,17
16,17
7,16
2,16
8,22
14,17
5,17
9,16
8,17
0,18
9,17
12,18
16,15
13,17
16,19
15,14
4,17
16,15
1,17
16,16
14,14
17,18
11,17
9,15
8,17
15,19
15,17
8,16
5,17
8,16
14,17
6,17
3,16
7,16
12,13
11,15
12,16
8,16
5,17
3,17
11,18
2,22
14,17
2,16
1,16
13,17
14,16
10,16
8,17
7,18
9,21
4,10
14,18
15,18
1,17
10,18
12,17
10,16
14,17
3,17
16,16
2,17
15,16
16,13
7,17
5,17
5,16
6,16
9,18
13,16
13,20
3,14
17,16
8,17
14,16
15,16
12,16
4,16
14,17
8,17
11,16
14,16
19,15
6,21
9,14
13,18
8,16
14,16
10,15
6,15
17,15
3,18
5,15
10,20
12,17
14,18
1,15
5,14
5,15
11,16
11,16
7,19
11,17
5,17
13,18
2,16
3,16
9,15
10,18
13,15
2,15
13,18
14,17
12,18
5,15
3,16
3,17
15,16
17,14
15,16
3,18
11,17
10,17
8,18
10,13
11,17
3,16
3,17
14,16
17,15
6,20
11,14
11,16
9,16
5,15
0,18
5,18
15,15
14,14
17,16
16,16
7,18
5,17
2,17
4,15
12,16
2,15
5,18
8,18
14,17
12,18
11,15
15,16
14,15
16,15
12,16
11,15
1,18
17,15
13,17
3,16
4,16
11,16
2,18
14,18
14,18
14,15
16,16
6,16
14,8
1,16
8,15
8,15
6,17
1,17
3,17
8,17
8,19
14,19
3,16
14,18
10,17
16,16
