agent_ms_1,agent_ms_2,agent_ms_3,agent_ms_4,agent_ms_5,agent_ms_6,agent_ms_7,agent_ms_8
11,14,13,23,14,10,10,91
10,9,11,10,13,11,12,52
8,8,13,13,8,56,16,15
12,9,10,9,9,26,9,16
7,11,34,16,13,13,12,14
21,14,18,10,14,13,9,13
11,11,14,10,13,9,0,19
8,11,8,9,13,9,17,27
13,10,17,12,17,13,9,13
10,10,8,14,41,8,33,85
10,48,9,9,24,9,10,0
9,22,14,27,12,13,0,0
12,9,14,0,9,13,11,11
16,0,44,12,40,11,17,14
11,11,20,32,24,15,14,11
9,10,14,37,12,27,16,18
27,14,10,9,9,11,29,12
16,9,11,0,8,11,19,12
10,10,10,14,20,13,11,15
7,12,10,16,9,10,46,11
12,10,13,9,12,9,36,27
13,9,11,8,10,10,31,18
9,10,18,12,24,9,16,42
11,20,9,11,23,14,0,38
8,10,10,24,10,15,19,14
13,11,7,22,0,52,22,16
12,19,10,10,9,28,15,12
16,10,25,11,9,9,13,10
9,11,12,11,10,8,15,73
8,12,16,8,10,9,20,89
11,10,11,13,12,12,14,0
9,8,14,12,9,12,39,0
8,16,11,16,9,10,40,0
7,46,17,10,10,9,0,11
20,20,10,9,53,43,35,37
7,8,38,39,0,28,12,17
11,13,17,21,26,26,0,0
11,11,10,11,9,28,34,38
11,8,16,13,17,10,12,18
8,11,9,12,14,0,12,52
11,15,37,16,45,10,17,39
22,17,19,8,15,14,11,0
7,9,11,10,12,12,10,23
9,10,12,11,39,11,14,26
7,19,16,18,9,19,30,9
9,16,12,12,13,65,11,37
10,15,11,72,22,27,0,11
10,14,50,25,14,11,12,12
11,9,23,10,15,8,13,12
10,11,20,8,11,28,15,12
11,10,17,8,55,9,14,23
9,10,9,8,26,9,13,15
13,9,27,8,9,15,13,14
9,14,14,9,9,16,23,16
7,9,11,11,25,16,18,21
14,12,13,23,11,8,70,15
11,10,8,11,23,9,13,38
10,19,10,12,24,15,32,36
12,9,11,22,24,10,33,12
13,15,13,8,9,31,10,10
12,12,21,24,8,27,13,11
30,13,11,21,8,10,20,14
8,10,13,14,24,7,18,12
7,8,17,8,15,9,23,15
11,7,12,10,10,9,13,16
20,16,12,12,11,11,10,15
13,11,9,25,10,10,16,54
17,11,12,0,9,29,23,37
17,20,14,8,49,10,8,32
10,17,9,23,23,12,37,28
10,12,10,20,9,13,0,0
11,10,22,17,9,16,11,12
12,11,11,21,10,39,9,21
10,9,0,22,10,94,15,11
13,11,23,13,9,0,24,13
11,10,10,12,17,87,9,17
14,9,18,15,19,0,17,17
9,15,8,22,15,0,16,50
9,12,11,13,21,16,14,40
11,12,9,13,10,10,12,13
22,25,8,12,43,14,16,11
12,21,18,25,25,8,14,22
9,10,20,10,47,28,31,20
11,10,9,0,9,30,11,11
8,13,21,8,0,30,0,15
9,9,16,14,10,11,11,19
11,12,8,11,15,18,10,18
11,9,8,13,13,9,14,13
14,9,11,26,13,13,23,51
8,12,16,10,17,16,16,39
15,58,15,0,11,22,12,36
10,21,9,10,10,10,11,8
11,8,8,9,24,8,9,19
14,9,18,11,13,9,11,12
8,17,14,0,10,23,30,9
11,10,11,11,9,12,10,12
14,9,16,15,22,54,12,13
12,8,9,17,11,64,16,23
15,9,13,37,9,62,15,10
9,13,10,0,10,0,10,14
42,12,11,0,16,0,17,13
12,12,11,14,10,9,11,61
9,53,9,13,14,24,11,37
8,23,19,16,25,12,14,36
9,8,11,24,9,11,13,9
12,8,17,13,10,19,38,0
10,11,7,0,22,9,8,11
14,14,8,12,10,0,0,8
9,10,9,8,10,9,14,15
8,11,17,43,9,18,11,13
8,17,9,22,10,9,17,18
10,13,18,9,16,20,9,59
13,11,8,12,17,9,13,37
9,13,11,10,9,10,13,12
8,20,14,10,42,8,11,0
11,14,12,10,23,12,13,13
11,14,8,49,10,13,14,10
16,12,9,24,19,13,15,13
12,19,14,8,9,27,32,11
8,11,10,9,11,27,0,14
10,13,13,47,11,26,11,16
11,14,8,22,11,10,11,15
11,9,12,9,12,10,11,10
18,13,18,8,11,15,13,54
12,8,8,9,15,10,18,39
11,20,12,10,17,14,14,0
10,10,8,17,11,9,12,13
10,11,28,18,28,12,10,32
12,12,12,16,0,11,10,13
21,11,10,23,9,48,16,11
10,14,13,9,11,28,10,15
10,13,14,20,10,32,30,21
10,15,23,12,11,7,20,13
8,9,0,14,39,0,20,18
10,11,10,10,15,11,10,0
9,8,39,15,11,9,18,38
8,8,18,17,10,12,17,11
21,21,10,10,14,21,17,13
12,10,11,12,11,11,17,11
11,11,15,16,51,17,9,21
13,12,16,23,24,11,9,14
16,10,12,9,9,8,8,11
10,18,12,19,9,10,11,13
9,14,10,9,23,18,12,12
13,9,11,9,19,31,53,77
9,8,19,11,8,11,10,38
9,12,8,9,10,9,10,38
9,11,17,12,10,14,16,14
9,18,8,13,10,22,12,15
11,8,13,12,10,13,11,12
38,9,9,14,15,13,14,27
8,14,12,46,46,7,15,17
10,14,8,19,25,12,10,15
18,12,9,19,0,8,20,11
15,13,10,9,26,33,32,23
8,16,9,12,0,34,12,18
23,13,8,17,21,32,11,34
9,14,43,11,14,26,10,48
8,13,18,12,13,14,10,40
12,18,11,9,15,9,12,0
8,13,10,12,10,12,8,11
16,14,8,15,18,7,10,14
11,10,11,10,9,23,15,13
8,17,19,9,11,14,13,24
8,11,14,24,24,9,9,11
10,9,11,0,9,39,13,18
20,10,7,9,17,26,31,11
9,8,11,7,13,10,12,13
11,15,12,15,12,0,9,19
10,20,42,12,20,17,10,14
9,16,18,13,8,14,16,38
9,8,13,11,9,17,10,28
10,10,15,14,10,12,16,0
10,10,12,7,25,11,13,13
18,19,12,9,69,8,12,10
11,17,10,14,37,17,16,28
15,11,14,25,13,13,41,11
9,17,8,0,11,9,31,12
9,12,7,8,10,14,11,17
20,10,12,12,11,27,0,18
10,20,11,15,13,9,13,21
11,8,9,15,11,9,15,49
10,52,15,10,10,8,15,12
9,25,11,8,9,29,9,15
9,0,11,10,11,8,11,12
8,10,13,10,15,16,10,20
11,12,10,16,12,10,10,12
16,12,12,9,22,9,8,15
20,12,10,11,12,11,11,12
19,8,45,24,14,64,10,11
13,11,20,11,12,0,62,13
9,10,8,0,13,29,10,26
8,32,8,25,10,0,12,17
14,16,11,16,13,11,10,0
8,12,12,13,10,14,14,10
8,10,8,11,12,10,10,48
8,10,21,13,9,11,10,37
15,44,12,9,13,10,8,12
27,19,11,9,28,12,9,8
8,11,11,11,0,12,11,8
12,8,11,16,10,11,12,11
9,12,20,44,10,58,38,11
8,9,19,8,9,27,11,12
12,11,10,23,12,11,10,16
10,10,9,21,9,9,9,114
19,8,10,9,9,8,10,0
9,11,10,15,24,9,10,15
9,14,9,12,9,17,8,11
10,45,14,15,10,10,11,15
10,22,14,18,15,14,10,10
11,15,17,8,9,10,30,12
10,0,19,9,24,9,28,19
16,13,7,12,10,12,29,13
8,10,8,25,0,20,8,62
10,11,20,21,8,39,0,37
11,12,12,9,14,16,14,12
8,10,17,0,13,18,11,42
44,10,8,12,10,0,10,40
19,9,13,14,9,10,10,11
9,10,14,9,11,9,14,12
9,8,10,12,9,11,14,13
8,19,8,9,11,11,16,24
19,6,20,16,9,12,31,18
47,15,11,16,27,15,8,16
11,12,12,28,0,8,15,36
7,9,8,21,23,63,10,17
9,14,8,9,12,26,9,0
19,9,19,12,0,8,10,9
8,18,22,15,11,12,9,12
10,9,19,14,12,10,10,19
10,10,12,10,20,13,7,17
10,9,8,9,13,11,14,12
13,17,8,10,10,14,30,52
10,21,39,11,11,13,14,42
9,0,20,10,9,10,13,0
9,13,11,39,8,8,44,37
10,11,14,23,85,28,30,15
10,13,9,9,0,27,8,0
9,10,16,14,33,26,0,19
13,10,13,9,23,10,8,14
11,8,43,10,10,11,8,12
8,7,22,9,8,13,12,24
8,18,8,8,11,9,10,12
13,10,14,12,0,11,53,19
9,13,11,11,81,8,31,10
12,56,9,45,0,12,10,8
13,9,55,21,25,9,9,11
8,9,11,10,25,9,78,14
9,10,8,12,13,0,34,41
10,20,14,12,9,18,10,16
12,9,49,13,8,0,11,15
9,18,18,10,7,9,11,38
11,17,11,10,12,14,9,12
11,16,11,21,12,10,35,22
11,9,15,10,12,26,30,13
10,10,18,7,9,10,10,11
8,12,23,10,15,9,12,13
11,10,13,12,12,15,9,56
12,18,14,9,10,11,11,37
49,8,9,0,27,10,12,14
18,7,56,8,11,12,29,39
9,9,21,24,9,19,11,36
0,11,15,23,10,29,8,17
13,14,16,22,17,9,10,13
15,10,8,8,14,9,9,9
10,10,48,13,11,9,12,9
7,10,22,11,11,26,40,16
10,13,8,50,14,8,8,16
11,49,21,20,10,12,9,9
10,21,12,12,53,9,14,47
8,11,9,10,25,16,11,38
13,12,9,8,28,27,10,37
14,19,66,27,26,30,11,11
16,13,43,0,13,28,32,12
14,10,0,20,0,13,29,24
14,7,53,10,16,11,8,10
38,12,22,12,9,9,13,15
9,11,8,16,15,11,10,10
15,9,10,12,13,10,11,15
11,9,8,37,10,7,29,12
10,47,11,11,12,0,11,15
