ticks-1-60sec,event-beat-b-or-agent-n
167099624,a4
167099630,b
167099631,a1
167099631,a2
167099631,a3
167099631,a4
167099631,a5
167099631,a6
167099631,a7
167099631,a8
167099632,a4
167099636,a2
167099644,a6
167099646,a4
167099650,a3
167099650,a3
167099652,a5
167099653,a2
167099653,a3
167099653,a4
167099653,a5
167099653,a6
167099653,a7
167099653,a8
167099654,a4
167099660,a7
167099661,a7
167099664,a5
167099669,a4
167099673,a7
167099673,a5
167099674,a3
167099675,b
167099675,a2
167099675,a3
167099675,a4
167099675,a5
167099675,a6
167099675,a7
167099675,a8
167099677,a6
167099682,a6
167099690,a5
167099695,a3
167099698,a2
167099698,a3
167099698,a3
167099698,a4
167099698,a6
167099698,a7
167099698,a8
167099698,a8
167099702,a8
167099708,a6
167099708,a4
167099713,a2
167099717,a2
167099718,a4
167099720,a7
167099720,a8
167099720,a8
167099721,init
167099721,b
167099721,a1
167099721,a2
167099721,a3
167099721,a4
167099721,a6
167099721,a7
167099721,a7
167099723,a3
167099723,a3
167099728,a8
167099730,a6
167099731,a2
167099738,a8
167099743,a2
167099743,a3
167099743,a4
167099743,a4
167099743,a5
167099743,a6
167099743,a6
167099743,a7
167099743,a7
167099743,a7
167099743,a8
167099745,a4
167099745,a3
167099753,a7
167099755,a4
167099757,a6
167099757,a6
167099761,a7
167099761,a7
167099763,a5
167099766,b
167099766,a2
167099766,a3
167099766,a4
167099766,a4
167099766,a5
167099766,a6
167099766,a7
167099766,a8
167099774,a6
167099776,a2
167099778,a5
167099783,a7
167099783,a3
167099784,a2
167099787,a2
167099788,a2
167099788,a3
167099788,a4
167099788,a5
167099788,a6
167099788,a7
167099788,a8
167099789,a7
167099799,a6
167099805,a3
167099808,a8
167099809,a4
167099809,a4
167099810,a3
167099810,b
167099811,a1
167099811,a2
167099811,a3
167099811,a4
167099811,a6
167099811,a7
167099811,a8
167099813,a4
167099815,a7
167099819,a4
167099820,a4
167099822,a1
167099823,a2
167099824,a7
167099825,a6
167099830,a8
167099832,a5
167099833,a2
167099833,a3
167099833,a4
167099833,a7
167099833,a8
167099835,a8
167099839,a2
167099841,a7
167099847,a8
167099849,a4
167099856,a8
167099856,b
167099856,a2
167099856,a3
167099856,a4
167099856,a5
167099856,a7
167099856,a8
167099861,a3
167099867,a5
167099872,a3
167099878,a2
167099878,a3
167099878,a5
167099878,a7
167099878,a8
167099885,a5
167099890,a2
167099897,a3
167099900,init
167099900,b
167099901,a1
167099901,a2
167099901,a3
167099901,a4
167099901,a6
167099901,a7
167099901,a8
167099902,a2
167099904,a2
167099905,a3
167099907,a7
167099910,a6
167099911,a4
167099915,a1
167099920,a3
167099923,a1
167099923,a2
167099923,a3
167099923,a4
167099923,a5
167099923,a6
167099923,a7
167099923,a8
167099927,a8
167099928,a5
167099932,a8
167099934,a4
167099935,a6
167099938,a7
167099941,a7
167099943,a8
167099943,a8
167099945,b
167099945,a1
167099945,a3
167099945,a4
167099945,a5
167099945,a6
167099945,a7
167099945,a8
167099948,a3
167099952,a7
167099956,a6
167099959,a5
167099962,a4
167099965,a3
167099968,a1
167099968,a2
167099968,a3
167099968,a4
167099968,a4
167099968,a5
167099968,a6
167099968,a7
167099968,a8
167099968,a7
167099973,a8
167099973,a6
167099974,a2
167099978,a3
167099979,a5
167099980,a2
167099980,a8
167099980,a1
167099981,a1
167099987,a2
167099989,a4
167099989,a4
167099990,b
167099991,a3
167099991,a4
167099991,a5
167099991,a6
167099991,a7
167099991,a8
167099995,a4
167099997,a7
167099997,a6
167100003,a5
167100005,a7
167100009,a1
167100011,a4
167100012,a1
167100013,a2
167100013,a3
167100013,a5
167100013,a6
167100013,a7
167100013,a8
167100021,a6
167100030,a8
167100032,a3
167100035,b
167100035,a2
167100035,a3
167100035,a4
167100035,a6
167100035,a7
167100035,a8
167100040,a3
167100047,a6
167100052,a2
167100054,a7
167100058,a2
167100058,a3
167100058,a4
167100058,a5
167100058,a6
167100058,a7
167100058,a8
167100059,a4
167100059,a8
167100060,a3
167100062,a2
167100062,a8
167100070,a5
167100074,a5
167100079,a3
167100081,init
167100081,b
167100081,a1
167100081,a2
167100081,a3
167100081,a4
167100081,a5
167100081,a6
167100081,a7
167100081,a8
167100081,a2
167100082,a6
167100082,a4
167100087,a7
167100089,a7
167100091,a5
167100093,a2
167100093,a6
167100093,a8
167100099,a3
167100100,a7
167100103,a3
167100103,a4
167100103,a6
167100103,a7
167100103,a8
167100104,a8
167100110,a6
167100112,a4
167100115,a1
167100126,b
167100126,a2
167100126,a3
167100126,a4
167100126,a5
167100126,a6
167100126,a7
167100126,a7
167100126,a7
167100126,a7
167100126,a8
167100131,a5
167100133,a6
167100145,a4
167100147,a4
167100148,a1
167100148,a2
167100148,a3
167100148,a4
167100148,a5
167100148,a6
167100148,a7
167100148,a8
167100149,a2
167100150,a3
167100153,a5
167100154,a7
167100156,a7
167100158,a6
167100160,a3
167100161,a8
167100162,a7
167100162,a3
167100165,a7
167100165,a4
167100170,b
167100171,a2
167100171,a3
167100171,a4
167100171,a5
167100171,a6
167100171,a7
167100171,a8
167100174,a8
167100176,a2
167100177,a2
167100178,a7
167100181,a8
167100184,a6
167100186,a1
167100190,a7
167100191,a5
167100193,a2
167100193,a2
167100193,a3
167100193,a4
167100193,a5
167100193,a6
167100193,a7
167100193,a8
167100194,a8
167100200,a7
167100201,a4
167100203,a7
167100203,a6
167100208,a5
167100216,b
167100216,a2
167100216,a2
167100216,a3
167100216,a4
167100216,a5
167100216,a7
167100216,a8
167100216,a2
167100218,a3
167100219,a4
167100229,a5
167100233,a7
167100234,a8
167100235,a3
167100238,a2
167100238,a3
167100238,a3
167100238,a4
167100238,a4
167100238,a5
167100238,a7
167100238,a8
167100238,a8
167100239,a2
167100241,a3
167100246,a5
167100250,a1
167100259,a2
167100260,init
167100260,b
167100261,a1
167100261,a2
167100261,a3
167100261,a4
167100261,a5
167100261,a7
167100261,a8
167100263,a3
167100263,a3
167100268,a3
167100269,a7
167100273,a5
167100276,a2
167100276,a2
167100278,a7
167100283,a2
167100283,a3
167100283,a4
167100283,a5
167100283,a6
167100283,a7
167100283,a8
167100284,a4
167100284,a8
167100284,a4
167100284,a4
167100290,a5
167100290,a1
167100291,a6
167100299,a4
167100299,a7
167100302,a1
167100305,a8
167100305,b
167100305,a1
167100305,a2
167100305,a3
167100305,a4
167100305,a5
167100305,a6
167100305,a7
167100305,a8
167100308,a3
167100312,a5
167100318,a2
167100321,a7
167100321,a4
167100324,a3
167100327,a8
167100328,a2
167100328,a3
167100328,a4
167100328,a5
167100328,a6
167100328,a7
167100328,a8
167100329,a6
167100335,a6
167100340,a4
167100343,a5
167100343,a7
167100350,a2
167100351,b
167100351,a2
167100351,a3
167100351,a4
167100351,a5
167100351,a6
167100351,a7
167100351,a8
167100351,a8
167100351,a2
167100352,a4
167100357,a6
167100363,a5
167100364,a3
167100367,a4
167100370,a3
167100373,a2
167100373,a3
167100373,a4
167100373,a5
167100373,a6
167100373,a7
167100373,a8
167100374,a2
167100380,a1
167100383,a6
167100388,a5
167100391,a3
167100391,a7
167100392,a8
167100394,a2
167100396,b
167100396,a1
167100396,a2
167100396,a3
167100396,a5
167100396,a6
167100396,a7
167100396,a8
167100397,a8
167100403,a6
167100405,a4
167100405,a5
167100407,a7
167100410,a8
167100414,a3
167100418,a1
167100418,a2
167100418,a3
167100418,a4
167100418,a5
167100418,a6
167100418,a7
167100418,a7
167100418,a8
167100418,a8
167100420,a7
167100433,a6
167100433,a2
167100434,a5
167100440,init
167100440,b
167100441,a2
167100441,a3
167100441,a4
167100441,a4
167100441,a5
167100441,a6
167100441,a7
167100441,a7
167100441,a8
167100441,a2
167100442,a4
167100443,a2
167100448,a1
167100451,a7
167100452,a6
167100453,a5
167100457,a4
167100457,a2
167100460,a3
167100460,a3
167100462,a4
167100463,a2
167100463,a3
167100463,a5
167100463,a6
167100463,a7
167100463,a8
167100466,a7
167100466,a7
167100469,a6
167100473,a7
167100476,a1
167100477,a5
167100484,a3
167100486,b
167100486,a2
167100486,a3
167100486,a4
167100486,a5
167100486,a6
167100486,a7
167100486,a8
167100489,a8
167100494,a8
167100497,a2
167100498,a6
167100499,a5
167100504,a2
167100505,a8
167100506,a3
167100506,a8
167100506,a7
167100508,a1
167100508,a2
167100508,a3
167100508,a4
167100508,a6
167100508,a7
167100508,a8
167100509,a4
167100517,a4
167100519,a6
167100525,a7
167100530,b
167100531,a2
167100531,a3
167100531,a4
167100531,a5
167100531,a6
167100531,a7
167100531,a7
167100531,a8
167100533,a3
167100534,a6
167100535,a8
167100540,a4
167100542,a5
167100542,a7
167100542,a7
167100543,a8
167100543,a2
167100553,a2
167100553,a3
167100553,a4
167100553,a4
