trains_samples,agent_ms_1,agent_ms_2,agent_ms_3,agent_ms_4,agent_ms_5,agent_ms_6,agent_ms_7,agent_ms_8
100,1.174,1.147,1.219,0.79,0.653,1.139,1.141,0.757
100,1.184,1.139,1.21,0.811,0.661,1.027,1.181,0.758
100,1.161,1.114,1.162,0.798,0.651,1.047,1.183,0.786
100,1.147,1.152,1.263,0.771,0.643,1.007,1.12,0.752
100,1.137,1.135,1.04,0.77,0.643,0.997,0.54,0.762
100,1.145,1.219,0.728,0.775,0.639,0.991,0.504,0.769
100,1.18,1.135,0.715,0.765,0.629,0.442,0.495,0.742
100,1.141,1.122,0.706,0.76,0.632,0.433,0.491,0.78
100,1.133,1.104,0.702,0.794,0.629,0.424,0.531,0.785
100,0.957,1.119,0.715,0.769,0.623,0.422,0.491,0.316
100,0.647,1.122,0.694,0.764,0.658,0.43,0.492,0.304
100,0.65,1.101,0.689,0.772,0.694,0.419,0.489,0.294
100,0.631,1.129,0.691,0.765,0.645,0.42,0.494,0.294
100,0.643,1.119,0.695,0.762,0.64,0.418,0.527,0.296
100,0.645,1.119,0.697,0.421,0.631,0.419,0.497,0.298
100,0.638,1.169,0.692,0.409,0.622,0.419,0.489,0.294
100,0.639,0.441,0.688,0.405,0.622,0.421,0.492,0.298
100,0.641,0.441,0.714,0.399,0.625,0.415,0.486,0.294
100,0.634,0.44,0.698,0.4,0.644,0.417,0.49,0.297
100,0.639,0.441,0.713,0.399,0.629,0.415,0.492,0.298
100,0.637,0.437,0.691,0.407,0.619,0.418,0.487,0.292
100,0.637,0.441,0.696,0.399,0.636,0.417,0.488,0.295
100,0.655,0.438,0.696,0.397,0.625,0.447,0.486,0.293
100,0.65,0.439,0.698,0.422,0.616,0.466,0.531,0.291
100,0.632,0.464,0.709,0.401,0.624,0.436,0.507,0.294
100,0.64,0.447,0.702,0.401,0.844,0.42,0.498,0.292
100,0.637,0.447,0.705,0.399,0.672,0.421,0.518,0.293
100,0.638,0.45,0.701,0.404,0.626,0.416,0.498,0.311
100,0.628,0.438,0.695,0.401,0.623,0.419,0.525,0.298
100,0.628,0.444,0.702,0.406,0.622,0.42,0.495,0.297
200,1.3,0.873,1.369,0.768,1.259,0.833,0.974,0.6
200,1.352,0.903,1.437,0.802,1.254,0.868,1.01,0.607
200,1.344,0.935,1.428,0.802,0.526,0.863,1.011,0.602
200,1.335,0.909,0.994,0.799,0.515,0.881,1.044,0.597
200,1.358,0.911,0.598,0.8,0.512,0.878,1.009,0.602
200,1.339,0.896,0.615,0.801,0.514,0.866,1.005,0.6
200,1.328,0.894,0.601,0.804,0.513,0.864,1.023,0.599
200,1.057,0.898,0.595,0.803,0.516,0.862,0.931,0.634
200,0.544,0.899,0.615,0.802,0.514,0.861,0.565,0.803
200,0.544,0.899,0.602,0.827,0.512,0.887,0.412,0.619
200,0.548,0.908,0.6,0.809,0.512,0.865,0.413,0.662
200,0.545,0.898,0.6,0.808,0.523,0.557,0.423,0.607
200,0.544,0.9,0.6,0.806,0.516,0.413,0.417,0.673
200,0.545,0.947,0.595,0.806,0.51,0.413,0.414,0.603
200,0.543,0.914,0.598,0.821,0.51,0.41,0.413,0.608
200,0.554,0.988,0.599,0.807,0.512,0.411,0.411,0.714
200,0.558,0.92,0.597,0.807,0.513,0.412,0.421,0.611
200,0.547,0.663,0.597,0.754,0.517,0.411,0.434,0.615
200,0.543,0.414,0.608,0.567,0.51,0.414,0.425,0.608
200,0.549,0.416,0.602,0.498,0.509,0.409,0.416,0.607
200,0.545,0.414,0.601,0.504,0.512,0.412,0.412,0.895
200,0.548,0.414,0.597,0.507,0.51,0.418,0.412,0.405
200,0.548,0.412,0.618,0.5,0.512,0.412,0.412,0.477
200,0.564,0.416,0.601,0.503,0.521,0.415,0.417,0.462
200,0.547,0.412,0.603,0.499,0.513,0.413,0.412,0.432
200,0.544,0.418,0.6,0.499,0.51,0.413,0.412,0.403
200,0.547,0.415,0.603,0.502,0.511,0.447,0.412,0.433
200,0.558,0.419,0.598,0.499,0.509,0.441,0.413,0.448
200,0.552,0.417,0.595,0.501,0.518,0.42,0.423,0.409
200,0.55,0.416,0.595,0.498,0.514,0.416,0.414,0.437
300,0.806,0.616,0.887,0.74,0.756,0.612,0.604,0.626
300,0.838,0.635,0.922,0.773,0.788,0.639,0.642,0.836
300,0.829,0.634,0.915,0.773,0.787,0.638,0.628,0.617
300,1.012,0.637,0.917,0.779,0.782,0.629,0.629,0.656
300,0.832,0.636,0.941,0.781,0.792,0.628,0.626,0.642
300,0.828,0.634,0.927,0.8,0.781,0.638,0.629,0.854
300,0.837,0.634,0.934,0.76,0.78,0.626,0.626,0.633
300,0.833,0.638,0.764,0.749,0.783,0.634,0.631,0.636
300,0.827,0.635,0.652,0.781,0.782,0.627,0.629,0.642
300,0.828,0.672,0.65,0.817,0.78,0.626,0.635,0.649
300,0.829,0.636,0.649,0.809,0.851,0.628,0.628,0.649
300,0.825,0.635,0.663,0.799,0.658,0.709,0.627,0.724
300,0.674,0.64,0.653,0.784,0.628,0.705,0.626,0.651
300,0.669,0.642,0.652,0.797,0.622,0.708,0.63,0.618
300,0.676,0.639,0.657,0.808,0.799,0.696,0.622,0.647
300,0.709,0.635,0.651,0.772,0.62,0.637,0.636,0.617
300,0.639,0.642,0.65,0.762,0.624,0.643,0.637,0.642
300,0.665,0.636,0.651,0.784,0.627,0.674,0.643,0.639
300,0.679,0.635,0.65,0.764,0.623,0.628,0.631,0.824
300,0.662,0.635,0.652,0.768,0.621,0.623,0.627,0.656
300,0.688,0.635,0.714,0.782,0.622,0.623,0.631,0.609
300,0.628,0.632,0.723,0.809,0.634,0.625,0.628,0.639
300,0.658,0.633,0.65,0.798,0.638,0.623,0.623,0.641
300,0.657,0.634,0.647,0.802,0.687,0.622,0.64,0.659
300,0.661,0.633,0.648,0.769,0.644,0.628,0.665,0.739
300,0.657,0.626,0.651,0.768,0.632,0.626,0.63,0.821
300,0.686,0.624,0.661,0.767,0.634,0.628,0.641,0.609
300,0.655,0.63,0.65,0.768,0.632,0.626,0.628,0.612
300,0.657,0.629,0.652,0.765,0.633,0.623,0.627,0.637
300,0.625,0.667,0.651,0.77,0.628,0.629,0.625,0.636
400,0.846,0.844,0.829,1.036,0.828,0.819,0.805,0.996
400,0.896,0.858,0.865,1.105,0.863,0.913,0.847,0.881
