agent_ms_1,agent_ms_2,agent_ms_3,agent_ms_4,agent_ms_5,agent_ms_6,agent_ms_7,agent_ms_8
0.012,0.013,0.007,0.008,0.007,0.011,0.003,0.005
0.045,0.041,0.024,0.024,0.022,0.027,0.017,0.012
0.039,0.043,0.03,0.015,0.02,0.024,0.028,0.03
0.012,0.013,0.028,0.015,0.019,0.027,0.009,0.018
0.011,0.032,0.013,0.012,0.011,0.008,0.01,0.009
0.036,0.029,0.012,0.021,0.009,0.007,0.015,0.016
0.035,0.026,0.024,0.02,0.022,0.023,0.015,0.008
0.037,0.029,0.024,0.022,0.022,0.027,0.014,0.01
0.035,0.029,0.024,0.024,0.033,0.023,0.037,0.016
0.05,0.039,0.02,0.022,0.024,0.021,0.031,0.015
0.036,0.037,0.021,0.021,0.026,0.02,0.043,0.017
0.036,0.036,0.023,0.024,0.033,0.035,0.015,0.016
0.03,0.042,0.019,0.021,0.026,0.021,0.012,0.016
0.037,0.036,0.022,0.024,0.038,0.025,0.032,0.01
0.037,0.027,0.048,0.017,0.018,0.024,0.021,0.01
0.036,0.027,0.037,0.024,0.022,0.02,0.021,0.018
0.038,0.025,0.03,0.025,0.02,0.022,0.022,0.011
0.038,0.027,0.017,0.021,0.03,0.023,0.018,0.012
0.034,0.027,0.029,0.022,0.019,0.034,0.019,0.028
0.036,0.027,0.03,0.026,0.019,0.021,0.019,0.024
0.035,0.028,0.032,0.023,0.024,0.022,0.014,0.014
0.037,0.027,0.029,0.022,0.021,0.035,0.022,0.014
0.034,0.04,0.028,0.022,0.021,0.02,0.023,0.026
0.036,0.043,0.022,0.034,0.035,0.02,0.042,0.013
0.037,0.03,0.027,0.033,0.023,0.039,0.017,0.015
0.037,0.029,0.026,0.019,0.025,0.023,0.019,0.014
0.037,0.03,0.029,0.022,0.023,0.024,0.014,0.014
0.035,0.029,0.029,0.029,0.02,0.035,0.015,0.014
0.037,0.029,0.028,0.022,0.022,0.02,0.017,0.031
0.036,0.027,0.026,0.025,0.018,0.019,0.02,0.02
0.036,0.041,0.026,0.019,0.02,0.022,0.02,0.015
0.036,0.039,0.027,0.025,0.02,0.027,0.022,0.022
