agent_ms_1,agent_ms_2,agent_ms_3,agent_ms_4,agent_ms_5,agent_ms_6,agent_ms_7,agent_ms_8
1.964,9.62,6.101,10.031,12.607,24.758,8.8,10.9
20.705,7.898,9.996,11.763,2.649,0.13,9.162,6.544
0.082,9.139,3.514,4.521,9.137,0.065,8.243,8.882
7.679,4.89,12.367,5.888,7.123,8.542,11.358,6.938
5.44,10.481,4.132,14.675,10.614,14.898,5.389,7.513
9.868,6.008,11.312,5.864,7.381,7.256,7.173,10.741
9.644,11.385,6.718,5.991,8.744,6.387,9.033,8.199
4.718,7.654,9.885,7.173,9.571,5.615,8.341,6.686
8.59,6.344,7.182,9.034,6,10.901,7.83,7.526
9.03,7.013,11.159,7.99,10.282,5.121,8.099,9.289
8.101,13.644,7.001,10.644,8.279,8.843,10.017,11.621
8.973,4.613,4.184,6.579,6.311,9.155,8.92,5.307
11.188,7.945,11.4,8.477,8.869,5.908,6.904,9.335
6.271,7.23,7.286,8.119,8.799,10.064,10.311,6.759
5.025,10.345,12.075,8.135,6.442,7.079,5.075,10.603
10.137,9.018,7.056,8.174,9.027,11.368,10.091,5.941
10.321,11.039,7.34,11.304,9.601,6.026,8.184,10.289
7.023,5.308,5.33,5.146,7.074,6.027,9.339,6.517
7.926,7.741,9.695,7.868,8.74,10.965,6.925,9.434
8.847,6.107,5.008,8.249,7.319,8.308,9.127,7.722
8.157,11.075,13.287,9.412,11.976,7.044,6.939,8.492
7.971,7.315,4.736,8.584,4.994,12.244,13.953,7.841
10.048,11.823,10.877,9.645,11.843,10.012,6.047,8.56
5.966,6.122,10.192,5.848,6.002,4.542,3.972,7.72
10.066,6.105,6.933,10.119,10.28,6.34,10.431,12.273
5.705,9.266,4.99,7.604,7.834,10.816,9.588,6.213
8.587,7.1,10.933,9.571,7.993,8.524,10.558,9.439
12.926,10.872,5.1,9.054,5.714,5.686,5.925,19.332
4.194,8.102,9.174,6.032,9.176,9.694,5.946,0.104
8.753,9.166,12.925,10.329,8.278,10.447,9.096,5.27
7.054,9.464,4.581,5.427,8.842,5.679,9.137,6.714
9.958,5.49,14.77,7.673,6.288,8.138,10.126,9.854
14.928,8.343,2.786,10.119,9.843,7.843,6.285,6.512
4.107,10.637,9.031,11.955,8.195,7.691,7.52,9.023
5.586,4.948,8.054,2.672,10.294,13.451,10.952,8.065
7.473,8.486,6.972,11.024,6.643,3.843,7.107,8.881
9.048,8.528,11.834,7.762,7.409,8.264,6.398,6.955
8.36,8.986,5.016,9.953,9.757,12.43,8.594,12.676
10.911,6.068,8.365,9.449,7.096,4.892,8.224,2.94
5.788,9.885,7.074,6.493,7.886,8.449,14.019,11.406
8.372,9.934,10.795,7.155,12.038,11.682,7.32,5.079
7.809,5.986,6.225,10.132,8.314,4.329,3.995,9.83
9.87,9.926,13.044,7.031,3.769,9.952,8.955,10.035
9.107,8.205,7.345,6.01,12.476,7.377,9.484,9.053
5.931,10.735,8.848,12.348,6.732,10.91,6.329,8.776
9.053,5.062,9.47,4.924,8.861,5.721,8.863,12.252
8.092,8.01,5.584,9.827,7.333,7.374,11.538,1.163
7.792,9.047,8.041,8.523,8.289,7.592,13.533,15.386
9.101,10.971,4.942,9.069,7.781,8.621,0.12,5.503
11.048,6.162,14.272,6.04,8.973,9.225,9.755,3.739
5.96,10.097,4.776,9.097,7.073,12.67,9.655,8.937
8.053,6.372,12.221,11.336,8.847,3.148,6.727,7.94
8.229,8.13,2.228,7.542,8.039,9.237,6.507,9.38
7.701,7.802,12.8,7.262,9.171,9.659,8.175,7.703
8.035,7.977,5.362,5.936,9.313,6.772,9.275,11.126
10.09,12.043,7.341,8.921,10.192,9.74,8.754,6.983
6.201,4.168,6.866,10.587,6.258,11.193,9.895,10.299
10.04,12.874,13.635,10.161,15.039,4.704,13.1,4.733
8.34,5.954,5.128,5.061,4.228,13.259,0.09,10.849
9.305,7.987,10.788,10.153,4.575,10.835,12.48,4.443
8.997,8.143,4.692,5.749,8.031,0.126,6.438,10.154
5.771,11.156,10.887,9.675,13.501,10.606,10.854,7.439
8.933,6.602,11.756,8.591,3.491,8.83,3.172,9.849
7.986,8.025,4.167,7.001,8.364,11.051,8.886,8.128
11.018,5.937,13.311,8.019,7.848,2.934,12.642,7.237
7.225,9.974,2.931,9.31,8.922,9.777,5.692,8.668
8.208,7.191,11.316,8.98,9.578,6.07,6.914,10.124
4.738,8.051,4.995,7.278,6.736,9.477,10.118,7.633
11.018,10.261,10.77,10.006,7.587,10.347,8.531,7.385
9.166,5.486,7.151,6.848,12.26,8.056,8.527,7.089
8.162,14.543,6.101,8.093,5.878,5.483,6.007,9.072
4.935,3.891,14.521,8.85,8.209,8.304,8.098,7.246
10.18,9.61,2.74,7.038,11.537,8.595,9.085,10.864
13.393,7.293,14.172,10.644,4.682,12.283,9.963,6.005
3.569,6.741,4.118,7.764,6.736,6.675,6.06,11.202
6.971,11.107,11.093,6.313,10.805,9.237,11.754,5.598
8.325,7.013,3.92,8.174,9.831,7.349,8.423,8.509
9.719,8.07,9.58,14.713,5.94,7.995,10.839,8.646
6.98,8.426,6.745,2.106,11.758,5.062,2.038,13.265
7.181,9.646,11.977,12.267,7.11,11.12,9.532,10.289
10.388,7.284,4.822,3.714,5.986,7.117,9.478,1.678
10.235,7.511,9.121,10.979,10.119,10.56,7.027,11.741
5.831,9.105,9.987,6.139,9.071,7.193,8.002,7.454
8.109,10.011,6.051,10.432,5.789,9.593,8.19,9.875
8.119,6.043,11.318,7.218,11.285,12.316,8.779,4.746
8.95,11.172,5.982,8.883,7.007,7.084,7.896,7.741
9.954,5.944,10.127,10.053,5.611,4.429,9.436,9.628
6.167,8.143,5,5.986,10.979,11.351,7.433,8.878
10.361,9.335,11.151,7.965,12.72,5.667,7.421,8.68
6.469,6.734,9.403,9.413,4.042,7.296,9.627,10.5
8.177,12.228,5.707,6.84,6.896,10.147,8.147,4.192
