agent_ms_1,agent_ms_2,agent_ms_3,agent_ms_4,agent_ms_5,agent_ms_6,agent_ms_7,agent_ms_8
0.775,1.438,1.216,2.631,1.587,1.744,3.242,3.661
0.798,1.177,1.122,2.397,3.645,3.139,1.707,2.717
0.608,0.362,1.117,2.951,1.859,1.794,1.678,3.303
0.196,0.359,0.473,2.295,0.741,1.971,1.224,2.569
0.692,1.178,0.82,0.816,1.579,1.042,2.199,1.241
1.18,1.108,2.225,2.042,3.275,3.094,3.458,1.319
0.688,1.125,1.837,2.008,1.576,8.523,3.098,2.63
0.657,3.308,1.823,2.041,1.422,5.98,2.725,4.947
0.677,1.112,1.881,3.951,1.582,2.495,2.678,4.897
0.503,1.133,1.803,2.738,1.685,5.281,4.96,6.925
0.692,1.086,4.939,2.011,1.391,4.45,7.444,2.91
0.713,1.118,1.922,2.176,1.82,4.252,2.696,2.47
0.684,1.068,1.285,2.152,1.704,2.523,2.495,4.295
0.67,1.122,1.309,3.873,1.583,4.384,2.185,2.507
1.089,1.479,1.346,2.018,1.347,2.57,2.703,2.18
0.683,1.816,1.421,2.268,3.205,2.311,2.585,2.419
1.202,1.438,1.32,3.805,2.189,5.225,2.698,4.568
1.198,1.421,1.344,1.998,2.933,3.044,2.696,2.452
0.685,1.105,1.284,2.046,2.911,3.246,4.655,2.309
0.514,1.429,1.255,2.033,1.983,3.372,2.477,2.686
0.698,1.462,1.401,2.003,1.662,2.823,2.72,4.819
0.693,1.429,1.354,2.02,2.937,3.921,1.731,2.879
1.192,1.503,1.274,2.18,2.063,1.877,3.959,3.155
1.173,1.162,1.302,2.013,4.277,1.939,4.326,2.825
0.675,1.453,1.318,1.95,1.264,5.865,2.109,2.954
0.683,1.891,1.28,2.177,1.332,5.604,2.05,2.781
1.184,1.364,1.345,2.036,3.847,2.717,2.105,2.759
0.759,1.425,3.49,2.023,3.434,2.278,4.732,3.045
0.783,1.113,1.287,2.045,1.673,4.367,2.877,5.055
3.187,1.538,1.29,2.024,1.711,2.512,3.204,3.16
0.714,1.427,1.37,2.04,5.309,4.457,3.178,7.236
0.753,1.539,1.378,2.584,2.779,2.515,4.948,2.839
0.858,1.505,3.481,1.998,2.672,2.473,2.851,2.774
0.684,1.479,1.337,2.038,3.021,4.688,2.854,4.147
0.825,0.643,1.338,2.026,1.433,2.714,2.872,3.426
1.191,0.852,1.286,3.662,2.198,4.261,2.835,5.351
0.614,0.838,1.359,2.128,1.426,2.485,8.873,2.057
0.676,1.509,1.294,2.266,1.204,2.505,5.139,2.207
0.684,1.442,1.325,2.173,1.465,2.603,3.092,4.173
