agent_ms_1,agent_ms_2,agent_ms_3,agent_ms_4,agent_ms_5,agent_ms_6,agent_ms_7,agent_ms_8
29.521,29.221,31.179,31.375,69.607,26.807,30.291,25.291
31.88,30.158,30.901,29.211,15.608,30.632,29.674,32.794
28.955,31.918,28.613,27.511,32.397,29.771,30.015,30.069
29.997,28.159,28.53,31.682,31.207,29.001,26.869,32.98
31.736,29.712,33.703,34.476,33.517,31.819,31.576,24.961
28.431,30.617,28.789,26.152,27.951,29.383,28.554,34.563
29.268,31.022,27.499,33.144,31.904,31.061,32.981,30.039
32.869,32.358,29.401,28.711,32.249,33.294,33.158,34.523
30.148,28.51,31.903,29.795,22.253,23.401,27.156,21.662
29.594,30.362,33.59,31.132,31.13,32.974,30.105,33.785
26.727,28.929,29.467,27.165,27.942,30.037,33.192,28.286
30.494,33.423,29.471,32.035,29.675,39.893,27.109,28.311
31.95,35.979,28.8,30.404,32.988,21.886,29.99,27.04
28.477,21.803,30.55,28.799,34.631,25.507,26.929,37.017
33.168,27.927,28.664,30.097,30.13,30.086,31.379,30.158
27.545,33.389,29.493,31.841,24.578,30.089,31.739,33.257
28.836,27.152,29.068,28.657,30.111,34.022,32.048,23.231
32.235,33.223,29.31,30.8,30.262,27.658,27.408,32.12
29.399,24.975,36.018,27.074,38.547,32.167,31.894,26.907
33.418,30.687,25.556,30.297,19.394,26.619,29.302,30.452
26.458,30.546,30.544,30.424,29.173,32.922,27.965,29.714
28.283,30.33,30.284,29.863,29.765,27.26,27.839,31.126
31.242,30.802,31.354,29.299,30.588,33.83,30.948,31.617
30.888,27.656,27.868,29.755,32.097,32.222,34.099,29.002
33.008,30.467,28.5,30.115,31.547,30.306,29.84,29.361
26.83,30.47,30.211,32.126,30.585,33.262,26.69,34.032
28.69,31.763,32.221,27.458,24.491,20.449,29.719,24.816
30.377,28.65,27.827,29.436,30.351,30.696,31.38,31.48
29.818,30.555,29.372,30.116,31.502,29.369,36.872,28.552
31.951,29.056,29.954,33.387,32.426,30.368,22.705,29.98
29.321,30.714,32.246,25.759,38.498,32.308,30.211,35.042
29.667,28.088,30.058,31.488,21.62,34.794,32.761,25.51
28.348,30.719,29.493,33.351,29.865,24.531,29.014,35.899
30.292,32.889,30.123,29.713,29.262,32.105,28.42,26.394
29.552,28.842,29.052,31.885,32.181,28.555,37.877,29.238
31.194,29.859,31.536,32.847,27.549,28.752,27.104,30.899
29.692,27.667,30.115,24.795,30.845,27.405,23.702,26.3
29.737,29.871,28.661,34.052,33.237,30.077,33.063,31.426
30.643,34.301,31.204,25.859,22.982,40.165,32.224,28.251
28.863,27.903,30.321,29.002,35.683,18.52,27.788,34.299
31.345,28.501,28.069,28.772,25.892,29.176,24.446,28.394
27.464,30.198,32.23,32.001,31.401,32.003,32.293,29.257
30.745,32.127,27.601,30.811,29.917,30.937,32.153,40.19
32.329,28.054,31.685,27.341,46.642,31.859,34.553,18.837
29.3,33.013,27.121,30.934,10.761,32.315,25.262,37.862
30.812,28.978,32.891,28.238,33.298,29.661,29.352,22.615
27.397,29.442,28.407,31.787,28.625,25.752,28.94,29.45
30.8,27.926,29.496,27.845,36.054,37.175,30.436,29.306
30.905,31.504,29.973,31.252,22.362,22.251,31.132,39.995
28.335,31.607,34.147,29.142,33.073,32.237,27.047,20.125
32.933,27.408,25.206,37.81,36.28,25.79,32.979,32.596
32.155,29.393,34.117,21.39,34.582,34.784,31.415,36.943
28.072,32.212,29.053,31.583,17.526,25.691,26.848,23.37
28.832,27.159,31.412,28.286,29.678,38.448,31.689,28.102
31.144,33.102,25.772,31.729,31.678,25.067,34.286,30.769
