,1,2,3,4,5,6,7,8
0,273,274,272,273,273,276,271,273
1,276,273,272,274,271,273,273,273
2,273,273,271,272,274,275,272,272
3,273,273,273,273,275,272,273,273
4,276,274,272,272,273,273,272,272
5,272,270,272,272,271,275,272,273
6,274,272,272,272,272,273,273,272
7,272,272,271,273,272,275,272,273
8,274,271,272,272,273,273,273,272
9,272,272,272,271,271,274,272,273
10,273,273,271,273,273,272,273,272
11,272,272,272,272,271,273,272,274
12,273,270,271,273,273,274,273,272
13,272,272,274,272,271,273,272,273
14,273,273,273,273,274,274,272,272
15,274,273,272,272,272,273,273,273
16,272,274,272,271,273,272,272,272
17,273,273,273,273,272,274,272,271
18,272,273,273,271,274,273,273,272
19,273,272,272,272,273,272,272,273
20,272,272,273,273,272,273,272,272
21,273,270,271,271,273,273,273,273
22,274,272,272,272,271,272,272,272
23,270,272,273,271,273,273,273,273
24,272,272,271,272,272,272,273,272
25,272,273,272,271,273,273,273,273
26,270,271,273,273,273,272,272,272
27,273,274,272,271,271,272,272,273
28,271,274,273,271,272,273,273,273
29,272,271,272,272,275,271,275,273
