,1,2,3,4,5,6,7,8
0,1935,1548,2161,1885,1306,2193,1965,2403
1,2345,1559,1321,2201,1347,1466,1236,1861
2,1881,1305,2145,1940,1913,1993,1373,2203
3,1931,2056,2016,2287,2016,1966,1674,1929
4,1810,1495,2173,1559,1269,1821,1911,1719
5,1636,2120,2063,2544,1556,1736,1842,1734
6,1879,1566,1903,2352,1330,1974,1439,1270
7,2273,2432,1723,2011,2192,1664,1705,2032
8,2571,2077,1550,1561,1761,1951,1989,2281
9,1837,2258,1591,1463,2180,1430,1560,1790
10,1834,1690,1444,1416,1560,1388,1735,1883
11,2466,1658,1629,1119,1716,2012,1487,2144
12,1719,2102,1525,2337,1880,1671,2330,1868
13,1644,1793,1470,1318,2283,1815,1312,1797
14,2345,1938,2407,2149,2119,1307,1071,2334
15,1683,2382,1393,1368,2045,1917,2301,1753
16,2027,1878,1629,1770,2420,2101,2178,1592
17,1652,2301,1604,1542,1905,1662,2131,2295
18,2411,1665,1915,1237,1712,2369,2131,1436
19,2245,1978,1950,2256,2073,1809,1406,1338
20,1804,2262,2167,1797,1509,1489,1792,2185
21,2361,1456,1462,1900,1646,2254,1532,2510
22,2080,1500,2352,1923,2369,1278,1473,1534
23,1959,1615,2101,2249,1548,1587,2486,1597
24,1771,1882,1434,1904,1716,2062,2093,2002
25,2000,1967,1752,2222,1698,2196,1577,2461
26,2530,2230,1859,1831,1823,1775,2320,2207
27,2251,1796,1245,2222,1614,2392,2126,1958
28,1732,1555,1488,2065,2192,2438,1321,1553
29,1964,1811,2041,1387,2127,2047,1672,1658
